nsrId,onlyInputInvoice,onlyInputInvoice,inputNodeclareOverOne,outputNodeclareOverOne,taxChangeRate,label
4444,Yes,No,No,No,上月无税负,1
52421,No,Yes,No,No,上月无税负,1
55005,No,Yes,No,No,上月无税负,1
100002,No,No,Yes,Yes,异常,0
100025,No,No,Yes,No,上月无税负,0
10003,No,No,No,Yes,正常,0
10005,No,No,Yes,Yes,上月无税负,0
100053,No,No,Yes,Yes,上月无税负,0
100087,No,No,Yes,No,正常,0
100129,No,No,No,Yes,上月无税负,0
10014,No,No,No,No,上月无税负,0
100144,No,No,Yes,Yes,上月无税负,0
100158,No,No,No,Yes,上月无税负,0
100167,No,No,Yes,Yes,正常,0
100171,No,No,Yes,Yes,异常,0
100172,No,No,Yes,Yes,上月无税负,0
100176,No,No,No,Yes,上月无税负,0
100185,No,No,Yes,No,正常,0
100193,No,No,No,No,上月无税负,0
100200,No,No,Yes,Yes,上月无税负,0
100220,No,No,Yes,Yes,正常,0
100232,No,No,No,Yes,上月无税负,0
100234,No,No,Yes,Yes,正常,0
100239,No,No,Yes,Yes,上月无税负,0
100246,No,No,Yes,Yes,正常,0
100258,No,No,Yes,Yes,上月无税负,0
10026,No,No,Yes,Yes,异常,0
100312,No,No,Yes,Yes,正常,0
100313,No,No,No,No,上月无税负,0
100384,No,No,Yes,Yes,上月无税负,0
100390,No,No,Yes,No,上月无税负,0
100394,No,No,Yes,Yes,上月无税负,0
100399,No,No,Yes,No,异常,0
100432,No,No,Yes,Yes,上月无税负,0
100436,No,No,No,Yes,上月无税负,0
100466,No,No,Yes,Yes,正常,0
100477,No,No,No,No,上月无税负,0
100482,No,No,Yes,Yes,上月无税负,0
100497,No,No,Yes,Yes,上月无税负,0
100500,No,No,No,No,上月无税负,0
100501,No,No,No,Yes,上月无税负,0
100506,No,No,No,Yes,上月无税负,0
100511,No,No,Yes,Yes,上月无税负,0
100514,No,No,Yes,No,上月无税负,0
100523,No,No,Yes,Yes,上月无税负,0
100524,No,No,Yes,Yes,正常,0
100543,No,No,No,Yes,异常,0
100558,No,No,Yes,Yes,上月无税负,0
100565,No,No,No,Yes,上月无税负,0
100566,No,No,Yes,Yes,上月无税负,0
100585,No,No,Yes,No,上月无税负,0
100599,No,No,No,No,上月无税负,0
100606,No,No,Yes,Yes,上月无税负,0
100612,No,No,No,Yes,上月无税负,0
100618,No,No,No,Yes,正常,0
10062,No,No,Yes,Yes,上月无税负,0
100621,No,No,No,Yes,正常,0
100647,No,No,Yes,Yes,上月无税负,0
100653,No,No,Yes,Yes,上月无税负,0
100675,No,No,Yes,Yes,上月无税负,0
100693,No,No,Yes,Yes,上月无税负,0
100700,No,No,Yes,Yes,异常,0
100711,No,No,Yes,Yes,上月无税负,0
100726,No,No,No,Yes,上月无税负,0
100728,No,No,Yes,Yes,上月无税负,0
10073,No,No,No,No,上月无税负,0
100743,No,No,Yes,Yes,上月无税负,0
100750,No,No,Yes,Yes,上月无税负,0
100751,No,No,No,No,上月无税负,0
100763,No,No,Yes,Yes,上月无税负,0
100765,No,No,Yes,Yes,正常,0
100776,No,No,No,No,上月无税负,0
10078,No,No,No,Yes,上月无税负,0
100783,No,No,No,Yes,正常,0
100785,No,No,Yes,Yes,正常,0
100791,No,No,No,Yes,上月无税负,0
10081,No,No,No,Yes,上月无税负,0
10082,No,No,Yes,Yes,正常,0
100826,No,No,No,No,上月无税负,0
100844,No,No,Yes,Yes,上月无税负,0
100847,No,No,No,Yes,上月无税负,0
100851,No,No,Yes,Yes,正常,0
100865,No,No,No,No,上月无税负,0
100878,No,No,Yes,Yes,上月无税负,0
100884,No,No,No,Yes,上月无税负,0
100895,No,No,Yes,Yes,上月无税负,0
100898,No,No,No,No,上月无税负,0
100901,No,No,No,No,正常,0
100919,No,No,Yes,No,上月无税负,0
100934,No,No,No,Yes,上月无税负,0
100943,No,No,Yes,Yes,上月无税负,0
100945,No,No,Yes,Yes,正常,0
100956,No,No,No,No,上月无税负,0
10097,No,No,No,Yes,上月无税负,0
100973,No,No,Yes,No,异常,0
100977,No,No,Yes,Yes,上月无税负,0
100980,No,No,Yes,Yes,上月无税负,0
100981,No,No,Yes,No,正常,0
101008,No,No,Yes,Yes,上月无税负,0
101018,No,No,Yes,Yes,上月无税负,0
101027,No,No,Yes,Yes,异常,0
101036,No,No,Yes,Yes,上月无税负,0
101046,No,No,Yes,Yes,上月无税负,0
101055,No,No,No,No,上月无税负,0
101066,No,No,No,No,正常,0
10107,No,No,Yes,No,正常,0
101103,No,No,Yes,Yes,上月无税负,0
101111,No,No,Yes,Yes,上月无税负,0
101134,No,No,No,No,上月无税负,0
101152,No,No,No,No,正常,0
101173,No,No,No,Yes,上月无税负,0
101188,No,No,No,Yes,正常,0
101189,No,No,Yes,Yes,上月无税负,0
101199,No,No,Yes,Yes,上月无税负,0
101207,No,No,Yes,Yes,上月无税负,0
101214,No,No,No,No,异常,0
101223,No,No,Yes,Yes,上月无税负,0
101225,No,No,Yes,Yes,异常,0
101246,No,No,Yes,Yes,上月无税负,0
101263,No,No,Yes,Yes,上月无税负,0
101304,No,No,No,Yes,正常,0
101317,No,No,Yes,Yes,上月无税负,0
101326,No,No,Yes,Yes,正常,0
101339,No,No,No,Yes,上月无税负,0
101341,No,No,No,No,上月无税负,0
101343,No,No,No,Yes,异常,0
101399,No,No,No,No,上月无税负,0
101454,No,No,Yes,Yes,上月无税负,0
101456,No,No,No,Yes,上月无税负,0
101468,No,No,Yes,No,上月无税负,0
101471,No,No,Yes,No,正常,0
101474,No,No,No,Yes,上月无税负,0
101487,No,No,No,No,上月无税负,0
101488,No,No,No,Yes,上月无税负,0
101490,No,No,Yes,No,异常,0
101501,No,No,Yes,Yes,上月无税负,0
10153,No,No,No,No,正常,0
101531,No,No,No,No,上月无税负,0
101536,No,No,No,Yes,上月无税负,0
101562,No,No,No,Yes,上月无税负,0
101586,No,No,Yes,No,上月无税负,0
10160,No,No,No,Yes,上月无税负,0
101602,No,No,No,Yes,上月无税负,0
101607,No,No,No,No,上月无税负,0
101608,No,No,Yes,Yes,正常,0
101638,No,No,Yes,No,正常,0
